Habitaciones,Baños,Estrato,Antigüedad,Piso N°,Administración,Precio m²,Parqueaderos,Estado,Tipo de apartamento,Precio,Área construída (m²),Área privada (m²)
3.0,2.0,5.0,más de 30 años,2,,439393939.0,1.0,,,580000000,132.0,132.0
3.0,1.0,3.0,1 a 8 años,Otro,126018.0,382978723.0,,Excelente,,180000000,47.0,42.0
3.0,2.0,5.0,9 a 15 años,4,120000.0,426666667.0,1.0,Bueno,,320000000,75.0,0.0
3.0,2.0,4.0,1 a 8 años,1,229000.0,468253968.0,1.0,Bueno,,295000000,63.0,63.0
3.0,2.0,4.0,1 a 8 años,6,285173.0,464285714.0,1.0,Excelente,,487500000,105.0,98.0
3.0,4.0,6.0,16 a 30 años,,550000.0,416666667.0,2.0,Excelente,,550000000,132.0,132.0
2.0,2.0,6.0,9 a 15 años,Otro,340000.0,438202247.0,1.0,,,390000000,89.0,89.0
3.0,2.0,4.0,16 a 30 años,2,140000.0,265306122.0,1.0,Excelente,,260000000,98.0,98.0
3.0,5.0,6.0,1 a 8 años,Otro,2500000.0,877192982.0,3.0,Excelente,Duplex,3000000000,342.0,342.0
2.0,4.0,6.0,1 a 8 años,7,700000.0,685314685.0,2.0,Excelente,,980000000,143.0,143.0
3.0,2.0,5.0,9 a 15 años,6,265000.0,416666667.0,1.0,Bueno,,350000000,84.0,84.0
3.0,4.0,6.0,9 a 15 años,,769000.0,566666667.0,2.0,,,850000000,150.0,150.0
3.0,2.0,3.0,9 a 15 años,,,316666667.0,1.0,Bueno,,285000000,90.0,0.0
2.0,2.0,6.0,9 a 15 años,7,442000.0,694444444.0,2.0,Excelente,,625000000,90.0,90.0
3.0,3.0,6.0,,,,402298851.0,,,,700000000,174.0,174.0
2.0,2.0,5.0,más de 30 años,3,85000.0,475524476.0,1.0,Bueno,,340000000,715.0,0.0
3.0,4.0,6.0,1 a 8 años,10,605000.0,756756757.0,2.0,Excelente,,840000000,111.0,111.0
3.0,2.0,3.0,,,140000.0,365384615.0,,,,190000000,52.0,0.0
4.0,3.0,5.0,9 a 15 años,7,478000.0,494897959.0,1.0,Excelente,,485000000,98.0,98.0
2.0,3.0,5.0,1 a 8 años,10,330000.0,741176471.0,2.0,,,630000000,85.0,0.0
2.0,1.0,3.0,9 a 15 años,Otro,112000.0,3675000.0,,,,147000000,40.0,40.0
4.0,4.0,6.0,16 a 30 años,10,579000.0,448412698.0,2.0,,,565000000,126.0,126.0
3.0,2.0,3.0,16 a 30 años,,220000.0,315789474.0,,,,180000000,57.0,57.0
1.0,2.0,6.0,1 a 8 años,11,223000.0,781818182.0,1.0,,,430000000,55.0,55.0
2.0,2.0,4.0,1 a 8 años,4,297000.0,5500000.0,,Excelente,,550000000,100.0,0.0
1.0,2.0,4.0,1 a 8 años,3,,403225806.0,,,,250000000,62.0,62.0
1.0,2.0,6.0,9 a 15 años,,,642857143.0,2.0,,,675000000,105.0,0.0
1.0,1.0,5.0,,3,167000.0,4700000.0,2.0,,,235000000,50.0,0.0
1.0,1.0,4.0,,,,6187500.0,1.0,Excelente,,198000000,32.0,0.0
4.0,3.0,4.0,16 a 30 años,3,,293577982.0,,Bueno,,320000000,109.0,0.0
2.0,1.0,5.0,16 a 30 años,1,210.0,484848485.0,1.0,Bueno,,320000000,66.0,66.0
3.0,3.0,5.0,más de 30 años,,250000.0,4000000.0,1.0,Bueno,,660000000,165.0,0.0
,,4.0,,,,716666667.0,,,,645000000,90.0,0.0
2.0,2.0,6.0,1 a 8 años,Otro,,485714286.0,1.0,,,340000000,70.0,0.0
3.0,2.0,5.0,1 a 8 años,,295000.0,579545455.0,2.0,Excelente,,510000000,88.0,88.0
3.0,2.0,4.0,1 a 8 años,,308000.0,532894737.0,1.0,Excelente,,405000000,76.0,0.0
2.0,3.0,6.0,1 a 8 años,10,453000.0,670212766.0,2.0,Excelente,,630000000,94.0,0.0
3.0,2.0,4.0,1 a 8 años,Otro,162720.0,433333333.0,1.0,,,247000000,57.0,0.0
3.0,3.0,3.0,,,,527559055.0,,,,670000000,127.0,0.0
3.0,2.0,3.0,,3,,389705882.0,,,,265000000,68.0,0.0
3.0,2.0,5.0,1 a 8 años,14,207000.0,514925373.0,1.0,Excelente,,345000000,67.0,0.0
2.0,2.0,6.0,,9,,1153846154.0,2.0,,,1200000000,104.0,104.0
3.0,3.0,6.0,9 a 15 años,Otro,770000.0,566666667.0,2.0,Excelente,,850000000,150.0,0.0
3.0,2.0,5.0,1 a 8 años,2,190000.0,517857143.0,1.0,Excelente,,435000000,84.0,84.0
1.0,1.0,6.0,1 a 8 años,,443000.0,7750000.0,,Excelente,,310000000,40.0,0.0
3.0,2.0,6.0,16 a 30 años,7,470000.0,511739916.0,1.0,Bueno,,510000000,9966.0,0.0
5.0,3.0,6.0,9 a 15 años,4,600000.0,449275362.0,2.0,Excelente,,620000000,138.0,138.0
2.0,2.0,4.0,1 a 8 años,Otro,290000.0,5640000.0,1.0,Excelente,,423000000,75.0,75.0
2.0,3.0,6.0,más de 30 años,4,596300.0,436134454.0,1.0,Excelente,,519000000,119.0,119.0
3.0,4.0,6.0,9 a 15 años,,769000.0,566666667.0,2.0,,,850000000,150.0,150.0
4.0,5.0,6.0,1 a 8 años,Otro,,608930988.0,2.0,Excelente,,900000000,1478.0,148.0
3.0,5.0,6.0,,Otro,754000.0,639534884.0,5.0,,,1650000000,258.0,258.0
3.0,2.0,6.0,menor a 1 año,Otro,,692448393.0,1.0,Excelente,,530000000,7654.0,70.0
3.0,2.0,4.0,,,,345454545.0,,,,380000000,110.0,0.0
2.0,2.0,4.0,16 a 30 años,Otro,165000.0,490740741.0,1.0,Excelente,,265000000,54.0,0.0
3.0,2.0,5.0,más de 30 años,2,,439393939.0,1.0,,,580000000,132.0,132.0
3.0,1.0,3.0,1 a 8 años,Otro,126018.0,382978723.0,,Excelente,,180000000,47.0,42.0
3.0,4.0,6.0,1 a 8 años,Otro,680000.0,666666667.0,2.0,Excelente,,900000000,135.0,135.0
3.0,2.0,5.0,9 a 15 años,Otro,350000.0,5375000.0,1.0,Excelente,,430000000,80.0,80.0
3.0,3.0,6.0,16 a 30 años,2,540000.0,448387097.0,2.0,Excelente,Loft,695000000,155.0,150.0
3.0,2.0,5.0,9 a 15 años,11,400000.0,48961039.0,1.0,Bueno,,377000000,77.0,77.0
3.0,3.0,5.0,,1,180000.0,414285714.0,1.0,,,580000000,140.0,0.0
2.0,2.0,6.0,9 a 15 años,Otro,340000.0,438202247.0,1.0,,,390000000,89.0,89.0
3.0,2.0,4.0,9 a 15 años,14,390500.0,553571429.0,1.0,Bueno,,465000000,84.0,84.0
3.0,2.0,6.0,9 a 15 años,7,220000.0,557142857.0,1.0,Bueno,,390000000,70.0,70.0
3.0,2.0,5.0,1 a 8 años,Otro,,592857143.0,1.0,Bueno,,498000000,84.0,84.0
3.0,2.0,5.0,1 a 8 años,Otro,,67816092.0,1.0,Excelente,,590000000,87.0,0.0
3.0,1.0,3.0,,,,233766234.0,,,,180000000,77.0,77.0
4.0,5.0,6.0,16 a 30 años,7,1200000.0,467836257.0,3.0,,,1600000000,342.0,342.0
3.0,3.0,5.0,,4,332500.0,358490566.0,1.0,,,380000000,106.0,106.0
3.0,3.0,5.0,,10,776900.0,37628866.0,2.0,,,730000000,194.0,165.0
3.0,4.0,6.0,,9,510000.0,707317073.0,2.0,,,870000000,123.0,123.0
3.0,3.0,5.0,,8,563000.0,460526316.0,2.0,,,700000000,152.0,152.0
3.0,2.0,5.0,,7,230000.0,5000000.0,1.0,,,355000000,71.0,71.0
2.0,2.0,4.0,1 a 8 años,5,,5000000.0,1.0,Remodelado,,275000000,55.0,53.0
3.0,2.0,3.0,más de 30 años,4,,282051282.0,,Excelente,,220000000,78.0,0.0
5.0,6.0,6.0,9 a 15 años,16,950000.0,447826087.0,3.0,Excelente,,1648000000,368.0,368.0
3.0,2.0,5.0,,,400000.0,342857143.0,1.0,,,480000000,140.0,0.0
3.0,3.0,6.0,1 a 8 años,,868889.0,10000000.0,3.0,,,1600000000,160.0,160.0
2.0,2.0,6.0,1 a 8 años,Otro,250000.0,723076923.0,1.0,Excelente,,470000000,65.0,65.0
3.0,3.0,6.0,,,535000.0,723602484.0,3.0,Excelente,,1165000000,161.0,0.0
3.0,3.0,6.0,9 a 15 años,4,496000.0,660576923.0,2.0,Bueno,,687000000,104.0,0.0
3.0,2.0,4.0,,,,345454545.0,,,,380000000,110.0,0.0
2.0,2.0,4.0,16 a 30 años,Otro,165000.0,490740741.0,1.0,Excelente,,265000000,54.0,0.0
3.0,2.0,5.0,más de 30 años,2,,439393939.0,1.0,,,580000000,132.0,132.0
3.0,1.0,3.0,1 a 8 años,Otro,126018.0,382978723.0,,Excelente,,180000000,47.0,42.0
3.0,2.0,3.0,1 a 8 años,,160000.0,315789474.0,,Excelente,,180000000,57.0,57.0
2.0,1.0,3.0,1 a 8 años,1,95000.0,371794872.0,,Excelente,,145000000,39.0,39.0
3.0,2.0,4.0,,9,126000.0,444444444.0,,Excelente,,240000000,54.0,54.0
3.0,3.0,6.0,1 a 8 años,13,450000.0,644230769.0,2.0,,,670000000,104.0,104.0
2.0,2.0,6.0,9 a 15 años,Otro,340000.0,438202247.0,1.0,,,390000000,89.0,89.0
3.0,2.0,4.0,9 a 15 años,6,285173.0,49744898.0,1.0,Excelente,,487500000,98.0,98.0
3.0,2.0,6.0,9 a 15 años,9,496000.0,660576923.0,2.0,Excelente,,687000000,104.0,104.0
1.0,1.0,6.0,16 a 30 años,1,145000.0,928571429.0,1.0,,,260000000,28.0,28.0
1.0,1.0,3.0,1 a 8 años,16,107000.0,5000000.0,1.0,,,150000000,30.0,30.0
3.0,4.0,6.0,16 a 30 años,5,748000.0,413173653.0,2.0,Excelente,,690000000,167.0,167.0
3.0,2.0,5.0,9 a 15 años,1,215000.0,472222222.0,1.0,Excelente,,340000000,72.0,72.0
3.0,2.0,4.0,9 a 15 años,2,308000.0,388235294.0,1.0,Excelente,,330000000,85.0,85.0
3.0,2.0,4.0,9 a 15 años,3,350000.0,525252525.0,1.0,Excelente,,520000000,99.0,93.0
2.0,2.0,5.0,1 a 8 años,14,335000.0,5750000.0,2.0,Excelente,,460000000,80.0,0.0
3.0,2.0,5.0,9 a 15 años,2,370000.0,365217391.0,1.0,,,420000000,115.0,0.0
3.0,2.0,4.0,1 a 8 años,12,230000.0,577922078.0,2.0,Excelente,,445000000,77.0,74.0
3.0,4.0,6.0,más de 30 años,7,1070000.0,363636364.0,3.0,,,1200000000,330.0,0.0
3.0,4.0,6.0,1 a 8 años,1,883000.0,622119816.0,3.0,Bueno,,1350000000,217.0,217.0
2.0,3.0,6.0,,,370000.0,4525000.0,2.0,,,543000000,120.0,0.0
